essay_id;essay_theme;discipline_name;essay_text;teacher_baho_1
1;“Шўриши соли 1916 ва иштироки фаъоли тоҷикон дар он”;Таърихи халқи тоҷик; Дар шўриши соли 1916 ва иштироки фаъоли тоҷикон бисёр калон буд. Аз тоҷикон 9 ҳазор нафарро бурданд. Боз аз ин 30 маҳсулотҳои пашм, хӯрока, либосҳо ва дигар маҳсулотҳоро мефиристоданд. Шўриши 1916 дар Осиёи Миёна шуда буд. Ин шӯриш 25 июли соли 1916 сарзада буд, бо фармони Николайи 2 мардони аз 19-43 соларо аз ноҳияи Шарқии Русияро ба сохтмони иншоотҳои мудофиаи сафарбар када шавад. Баъд аз кишвари Туркистон 250 ҳазор нафар аз ҷумла аз Уезди Хуҷанд 8948 нафар сафарбар карда шавад. Дар ин шӯриш Ходили Ҷамолак, ра Зокиров, Ҷӯра Али, Зубайдуллоҳ Раҳматуллоев барин далерони ҳаққи тоҷик фаъолонаиштирок карданд. Хабари шӯриши Хуҷанд зуд ба дигар маҳаллаҳои Тоҷикистон паҳн шуд ва ба тамоми Осиёи Миёна паҳн гардид. 17 июл шӯриш дар Фарғона дар деҳаи Пунук деҳаи Ашти поён сар зад.;7
2;«Китоби сурхи Ҷумҳурии Тоҷикистон» ва аҳамияти он;Экология;Экология фанне мебошад,ки илм дар бораи растаниҳо,омилиҳои экологй  ва ғайраҳоро маълумот медиҳад. Экология аз калимаи юнонй ,,Koinos,,гирифта шудааст. Экология бо фанҳои биология,зоология,география,химия ва ғайра фанҳо доҳил мешавад.Системаи экологияро ин инсон ба вуҷуд овардааст ин атмосфера мебошад.Маънои калимаи Koinos-ин ҳаёт мебошад.Омилихои экологй як чанд намуд мешаванд.Омилии экологии худ ин Таъсири нақилёт ба талабот менбошад.Дар конгреси 3-юми Байналҳалки ботаникҳо,ки соли 1910 дар шаҳри Брюсел баргузор шуда буд ҳамҷун илми мустақим биологй ин илм экология мебошад. Экология калимаи,,Koinos,, ин хаёт дар бораи обсабзан растаниҳо,ҳайвонҳо ва ғайраҳо маълумот медиҳад медиҳад. ;3
3;«Китоби сурхи Ҷумҳурии Тоҷикистон» ва аҳамияти он;Экология;Китоби сурхи Ҷумҳурии Тоҷикистон ҳуҷҷати расмии давлатӣ буда дар он маълумот оид ба намудҳои нодири набототу ҳайвоноти Ҷумҳурии Тоҷикистонки ба муҳофизат ниёз доранд оварда шудааст.Вазифи  асосии Китоби Сурхи Тоҷикистон дар асоси меъёру категорияҳои муқарраргардидаи Иттиҳоди байналмилалии ҳифзи табиат арзёби намудани ҳолати ҳифзи намуду зернамудҳои олами набототу  ҳайвонот мебошад,ки дар дунё кам мондаанду шумораашон кам шудаанд.;7
4;1. Мақсад ва вазифаҳои асосии омўзиши фанни таърихи халқи           тоҷик аз чӣ иборат аст?;Таърихи халқи тоҷик;Мақсад ва вазифаҳои асосии омўзиши фанни таърихи халқи тоҷик аз чӣ иборат аст.;6
5;1. Основная цель и задачи обучения истории таджикского народа. Мақсад ва вазифаҳои асосии омўзиши таърихи халқи тоҷик.;Таърихи халқи тоҷик; Основная цель и задачи обучения истории Таджикского народа являеться изучения культуры традиции обучение истории от появления истории Таджикикого народа. И основная цель и задачи обучения истории, из куртов, и язык Иранского вышл и поевление и создатель Таджикского народа основатель 4-х веков Исмаил Саманид являеться он великий тому времени создал великую империю, воеватель и открыл путь Таджикского народа и создал могучем сделал, культурным традиций будущее началось на время.  Основная цель и задачи обучения истории Таджикского народа, из появления из древнейших культурностей и обучения будущем являются. Таджикского народа, и поевлении и истории, культурность и обучение будущем являются. Таджикского народа являються происхождении куртов и его истории великий и традиции праздиков данный время тоже есть их, всегда должен как был оставаться и.  Таджикиского народа культурность и традиции всегда отмечаем и их всегда будем сохранить и будущем таджикского народа сохраним и отвезём вместе;6
6;1. Хештаншиносии инсон;Фалсафа;Соҳаҳои асосии ҳаёти ҷамъияти ин рафтори нек гуфтори нек ва пиндори нек мебошад, ки ҷамъият аз рӯи ин гуфтаҳо ҷамъиятро медонад, ки агар дар ҷомеа ин гуна шахсҳо зиёд бошад ҷамъият бо нуфз мегардад. Агар шахсҳои бо илму бо фарҳанг кам бошад ҷамъияти ақибмонда ва ба мушкилиҳои зид дучор мегардад. Барои он, ки ҷамъиятро бо обру гардонем бояд мо соҳаи илму маърифатҳо зиёдтар аҳамият диҳем ва ба наврасамо ҷавонон илму одобу ахлоқро хуб омузонем, ки ҳаминҳо ояндаи ҷомеаро тараққӣ мегардонад.;3
7;1. Хештаншиносии инсон;Фалсафа;" Фалсафа таърихи 2500 сола дорад. Фалсафа аввалин бор дар Юнони Қадим 2500 сол пеш пайдо шудааст. Фалсафа аз калимаи юнони гирифта шуда ""Фаил"" муҳаббат, ""сафа"" дӯстдоштан мебошад, яъне ҳикматдӯстӣ мебошад.  Хештаншиносӣ ғ ин донистани худ ва ҳафтпушт, ҳар як шахс бояд донад аз кадом авлод мебошад.";6
8;1.Заминаҳои иқтисодӣ-иҷтимоӣ ва гносеологии пайдоиш ва ташаккулёбии дониши фалсафӣ чун тарзи маърифати олам ва хештаншиносии инсон;Фалсафа;"Соҳаи иқтисодӣ - соҳаи бунёдии ҳаёти ҷамъият.Таърих ва фалсафаи таърих.Диалектикаи робитаи байниҳамдигарӣ.Соҳаҳои асосии ҳаёти ҷамъият.Ҳаёти сиёсии ҷамъият.Ҷамъият ҳамчун низоми худинкишофёбанда.Ҳаёти маънавии ҷамъият.Консепсияи диалектикии инкишоф.Фалсафа чун ҷаҳонбинӣ; типҳои таърихии ҷаҳонбинии фалсафӣ";4
9;10. Консепсияи диалектикии инкишоф;Фалсафа;Фалсафа яке аз фанҳои диншиносӣ мебошад. Ҳастии ҷамъиятро муайян мекунад. Консепсияи диалектикии инкишоф ин инкишофшавиро мефаҳмонад.;4
10;10. Консепсияи диалектикии инкишоф;Фалсафа;Фалсафа аз калимаи юнонӣ гирифта шуда маънояш муҳаббат мебошад. Дар давраҳои қадим одамон ба обу оташ эътиқод мекарданд. Баъд таълимоти динию фалсафа аз шакл рӯҳ ба тан, ақл иборат аст. Хусусиятҳои инсони каширо, Конфутсӣ нишон дод одоб, эътиқод, эҳтиром нисбат ба калонсолон ба халқ. Сурати илми олам табаллути таълимоти диалектикӣ мегузошт. Таълимоти фанни фалсафа асосан динию илмро мефаҳманд.;5
